,activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,simplified_applicant_age_above_62,state_simplified,loant_type,debt_to_income_ratio2
602,2021,549300TF1E42EUFBSL45,36084.0,CA,6001.0,6001421200.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,945000.0,55.792,2.875,-0.183,Not a high-cost mortgage,3014.25,,850.0,,300.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1705000.0,Site-built,Principal residence,3.0,5.0,1.0,,328.0,40,FICO Risk Score Classic 04,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,60.0,60.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,3668,22.46,125600,223,1309.0,1569.0,76,0.0,0,Conventional,0.4
2610,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004428.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,545000.0,71.6,3.625,0.666,Not a high-cost mortgage,14298.25,,9529.25,,,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,765000.0,Site-built,Principal residence,3.0,5.0,1.0,,127.0,42,Equifax Beacon 5.0,Equifax Beacon 5.0,Hispanic or Latino,11.0,,,,Hispanic or Latino,11.0,,,,Not applicable,Not applicable,White,,,,,White,,,,,Not applicable,Not applicable,Female,Male,Not applicable,Not applicable,60.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,3514,28.91,68600,213,1374.0,1514.0,26,1.0,1,Conventional,0.42
4355,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6001.0,6001428200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,655000.0,40.88,2.75,0.057,Not a high-cost mortgage,2617.2,,1174.0,,3148.56,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1595000.0,Site-built,Principal residence,3.0,5.0,1.0,,210.0,20%-<30%,FICO Risk Score Classic 04,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,1.0,1.0,2.0,,,,,Not applicable,,,,6653,49.62,125600,139,1581.0,2256.0,63,0.0,0,Conventional,0.25
2048,2021,D38AC76TAMYI50NBPX33,49740.0,AZ,4027.0,4027010913.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,315000.0,80.0,3.625,1.018,Not a high-cost mortgage,10470.0,,6020.0,,128.0,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,395000.0,Site-built,Principal residence,3.0,5.0,1.0,,118.0,30%-<36%,Experian Fair Isaac,FICO Risk Score Classic 04,Hispanic or Latino,12.0,,,,Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Collected on the basis of visual observation or surname,Collected on the basis of visual observation or surname,50.0,30.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,1037,72.42,51400,81,205.0,591.0,31,0.0,1,Conventional,0.32
1568,2021,FT6J43S06X6CLJ0R0B48,41740.0,CA,6073.0,6073008341.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Other purpose,Secured by a first lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,255000.0,45.455,3.75,1.37,Not a high-cost mortgage,,,,,,1.0,,1.0,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,555000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,FICO Risk Score Classic 04,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Chinese,,,,,Chinese,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,60.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,7616,54.2,95100,124,488.0,107.0,19,0.0,0,Conventional,
121,2021,54930034MNPILHP25H80,49740.0,AZ,4027.0,4027011107.0,NC,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,3,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,635000.0,100.0,2.75,-0.28,Not a high-cost mortgage,3115.75,,0.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,635000.0,Site-built,Principal residence,3.0,5.0,1.0,,143.0,43,Not Applicable,Equifax Beacon 5.0,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,Asian,White,Korean,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,30.0,30.0,No,1.0,1.0,1.0,,,,,Not applicable,,,,2218,49.05,51400,233,732.0,766.0,19,0.0,1,Veterans Affiars guaranteed VA,0.43
508,2021,549300TF1E42EUFBSL45,42020.0,CA,6079.0,6079012304.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,335000.0,25.769,3.125,0.452,Not a high-cost mortgage,2925.05,,850.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1305000.0,Site-built,Principal residence,3.0,5.0,1.0,,109.0,39,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,78.0,70.0,Yes,1.0,1.0,1.0,,,,,Not applicable,,,,10060,28.26,97800,101,2571.0,4197.0,22,1.0,0,Conventional,0.39
840,2021,549300TF1E42EUFBSL45,42020.0,CA,6079.0,6079011701.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,1005000.0,40.0,3.25,0.358,Not applicable,6749.85,,850.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,2505000.0,Site-built,Second residence,3.0,5.0,1.0,,884.0,20%-<30%,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,70.0,Yes,1.0,1.0,6.0,,,,,Not applicable,,,,4740,10.44,97800,103,1292.0,2614.0,28,1.0,0,Conventional,0.25
1649,2021,FT6J43S06X6CLJ0R0B48,11244.0,CA,6059.0,6059075515.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,515000.0,64.356,4.375,,Not applicable,,,,,,1.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,805000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,16887,73.43999999999998,106700,101,1831.0,3004.0,15,0.0,0,Conventional,
836,2021,549300TF1E42EUFBSL45,36084.0,CA,6013.0,6013379000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,375000.0,65.0,3.375,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,575000.0,Site-built,Investment Property,3.0,5.0,1.0,,872.0,<20%,Not Applicable,FICO Risk Score Classic 04,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,1.0,1.0,1.0,,,,,Not applicable,,,,6375,98.46,125600,45,705.0,1921.0,61,0.0,0,Conventional,0.1
2242,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004109.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,425000.0,79.41,3.875,0.944,Not a high-cost mortgage,11060.14,,7698.1,,,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,535000.0,Site-built,Principal residence,3.0,5.0,1.0,,125.0,30%-<36%,FICO Risk Score Classic 04,Experian Fair Isaac,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not applicable,Not applicable,Info not provided by applicant in mail internet or telephone appplication,,,,,White,,,,,Not applicable,Not applicable,Male,Female,Not applicable,Not applicable,40.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,5493,19.15,68600,120,1905.0,2173.0,19,0.0,1,Conventional,0.32
776,2021,549300TF1E42EUFBSL45,42020.0,CA,6079.0,6079012900.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,735000.0,50.0,3.125,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1475000.0,Site-built,Investment Property,3.0,5.0,1.0,,425.0,<20%,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5383,24.78,97800,104,1371.0,2218.0,32,0.0,0,Conventional,0.1
4427,2021,RVDPPPGHCGZ40J4VQ731,41740.0,CA,6073.0,6073009507.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,225000.0,29.1,2.5,-0.222,Not a high-cost mortgage,3939.86,,3121.66,1947.66,3323.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,785000.0,Site-built,Principal residence,3.0,5.0,1.0,,48.0,43,Experian Fair Isaac,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Information not provided by applicant in mail internet or telephone application,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,3710,34.34,95100,132,795.0,1130.0,33,1.0,0,Conventional,0.43
4544,2021,RVDPPPGHCGZ40J4VQ731,38060.0,AZ,4013.0,4013815200.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Loan Originated,Ginnie Mae,Preapproval not requested,3,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,455000.0,100.0,2.25,-0.436,Not a high-cost mortgage,5915.38,,3579.68,109.68,37.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,455000.0,Site-built,Principal residence,3.0,5.0,1.0,,132.0,>60%,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Black or African American,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,7717,22.69,79000,126,1964.0,2677.0,9,0.0,1,Veterans Affiars guaranteed VA,0.65
1826,2021,FT6J43S06X6CLJ0R0B48,36084.0,CA,6013.0,6013368001.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,745000.0,,3.95,,Not applicable,,,,,,1.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,1165000.0,Site-built,Investment Property,3.0,5.0,5.24,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,5099,93.74,125600,50,596.0,1233.0,53,,0,Conventional,
347,2021,549300EKCY4J7PC8WH77,36084.0,CA,6001.0,6001432600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Other Type of purchaser,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,595000.0,71.02,9.0,,Not applicable,,,,,,12.0,,,No negative amortization,Interest-only payment,Balloon payment,No other non-fully amortizing features,835000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,2.0,6.0,,,,,Not applicable,,,,7275,77.79,125600,66,761.0,1494.0,52,,0,Conventional,
958,2021,549300TF1E42EUFBSL45,31084.0,CA,6037.0,6037123520.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,3005000.0,75.0,3.05,,Not applicable,,,,,,180.0,,84.0,No negative amortization,Interest-only payment,Balloon payment,No other non-fully amortizing features,4005000.0,Site-built,Investment Property,3.0,5.0,5.24,0.0,,,Experian Fair Isaac,Experian Fair Isaac,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Information not provided by applicant in mail internet or telephone application,Information not provided by applicant in mail internet or telephone application,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,60.0,60.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,2500,65.88,80000,72,306.0,483.0,57,0.0,0,Conventional,
3843,2021,RVDPPPGHCGZ40J4VQ731,41940.0,CA,6085.0,6085506000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,375000.0,41.25,2.25,-0.23,Not a high-cost mortgage,2544.97,,1467.27,293.27,0.61,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,905000.0,Site-built,Principal residence,3.0,5.0,1.0,,191.0,20%-<30%,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Asian,Chinese,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,40.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,4464,46.95,148700,107,951.0,1356.0,55,0.0,0,Conventional,0.25
368,2021,549300TF1E42EUFBSL45,36084.0,CA,6013.0,6013379000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,305000.0,55.0,4.4,,Not applicable,,,,,,120.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,555000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,6375,98.46,125600,45,705.0,1921.0,61,,0,Conventional,
3148,2021,RVDPPPGHCGZ40J4VQ731,41500.0,CA,6053.0,6053001700.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,555000.0,96.26,1.75,-0.772,Not a high-cost mortgage,15303.3,,13944.3,13349.3,286.84,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,585000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,FICO Risk Score Classic 04,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,40.0,No,2.0,1.0,6.0,,,,,Not applicable,,,,3709,70.21,80900,74,501.0,1088.0,59,0.0,0,Veterans Affiars guaranteed VA,
3166,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6001.0,6001441100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,595000.0,59.67,2.625,-0.11,Not a high-cost mortgage,2322.0,,899.0,,4589.3,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,995000.0,Site-built,Principal residence,3.0,5.0,1.0,,190.0,20%-<30%,Not Applicable,FICO Risk Score Classic 04,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Female,Male,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,2.0,1.0,1.0,,,,,Not applicable,,,,4246,60.22,125600,131,1176.0,1380.0,41,0.0,0,Conventional,0.25
4816,2021,RVDPPPGHCGZ40J4VQ731,31084.0,CA,6037.0,6037553200.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,535000.0,84.67,2.25,-0.456,Not a high-cost mortgage,8546.44,,8068.09,2855.41,250.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,625000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,Not Applicable,Hispanic or Latino,11.0,,,,11.0,Hispanic or Latino,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,30.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,7677,82.56999999999998,80000,117,1439.0,1792.0,59,0.0,0,Veterans Affiars guaranteed VA,
3589,2021,RVDPPPGHCGZ40J4VQ731,38060.0,AZ,4013.0,4013420107.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,505000.0,59.46,2.625,-0.074,Not a high-cost mortgage,1950.5,,969.0,,3055.18,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,855000.0,Site-built,Principal residence,3.0,5.0,1.0,,123.0,37,FICO Risk Score Classic 04,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Information not provided by applicant in mail internet or telephone application,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,2.0,1.0,2.0,,,,,Not applicable,,,,6084,10.08,79000,222,2026.0,2693.0,13,1.0,1,Conventional,0.37
1240,2021,FT6J43S06X6CLJ0R0B48,31084.0,CA,6037.0,6037401312.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,655000.0,68.685,4.125,0.393,Not a high-cost mortgage,5623.2,,980.0,,,1.0,,36.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,955000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Experian Fair Isaac,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Other Asian,,,,,Other Asian,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Female,Male,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,30.0,30.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,5678,52.13,80000,131,1641.0,1918.0,39,0.0,0,Conventional,
